m,d,a,psi,rho,mu,theta_H,level_sum,gdp,u_C,s_L
0.2,0.2,0.3,0.75,0.0,0.04,0.25,6,3.120056458200926,3.303898153100218,58.04079581794868
0.2,0.2,0.3,0.75,0.0,0.04,0.5,7,3.24355328429482,3.21683603548535,58.03362086496671
0.2,0.2,0.3,0.9,0.5,0.17,0.1,2,2.0609236240102913,2.9602530060472727,58.98899227998415
0.2,0.2,0.3,0.9,0.5,0.17,0.25,3,2.1317335152486017,2.9087391553276887,58.9849287100745
0.2,0.2,0.3,0.9,0.5,0.17,0.5,4,2.173621144436999,2.8782062518723204,58.98252603975318
0.2,0.2,0.3,0.9,0.5,0.08,0.1,3,2.0090940852832917,3.0713771321136196,58.9919681557043
0.2,0.2,0.3,0.9,0.5,0.08,0.25,4,2.115902825947358,2.998007850859753,58.9858369768004
0.2,0.2,0.3,0.9,0.5,0.08,0.5,5,2.181607103354244,2.952227613784369,58.98206806175962
0.2,0.2,0.3,0.9,0.5,0.04,0.1,4,1.97031748354779,3.173165323014867,58.994195423843145
0.2,0.2,0.3,0.9,0.5,0.04,0.25,5,2.0996132090422392,3.092848980523537,58.98677169994466
0.2,0.2,0.3,0.9,0.5,0.04,0.5,6,2.1848870527989783,3.0381978042412214,58.981879972427656
0.2,0.2,0.3,0.9,0.25,0.17,0.1,3,2.7677803360790065,3.0388841185241535,58.32668599337354
0.2,0.2,0.3,0.9,0.25,0.17,0.25,4,2.873610913960656,2.959992760630339,58.32055793919746
0.2,0.2,0.3,0.9,0.25,0.17,0.5,5,2.936410754946084,2.9129076167966295,58.3169241073842
0.2,0.2,0.3,0.9,0.25,0.08,0.1,4,2.7063532697743753,3.193641087666367,58.33024537108046
0.2,0.2,0.3,0.9,0.25,0.08,0.25,5,2.8517604528741414,3.0892722897746014,58.32182273383376
0.2,0.2,0.3,0.9,0.25,0.08,0.5,6,2.943145531663749,3.022177700135092,58.316534521042485
0.2,0.2,0.3,0.9,0.25,0.04,0.1,5,2.6489882753157445,3.349041869760875,58.33357102100525
0.2,0.2,0.3,0.9,0.25,0.04,0.25,6,2.817426281259694,3.2384037955135128,58.32381060238483
0.2,0.2,0.3,0.9,0.25,0.04,0.5,7,2.930618386983852,3.1606361038879585,58.3172591957223
0.2,0.2,0.3,0.9,0.0,0.17,0.1,4,3.4780719992046016,3.122268086402945,57.662035029045335
0.2,0.2,0.3,0.9,0.0,0.17,0.25,5,3.6188515629344,3.014811216777632,57.65381127440013
0.2,0.2,0.3,0.9,0.0,0.17,0.5,6,3.702357232297393,2.950438011370049,57.64893774571226
0.2,0.2,0.3,0.9,0.0,0.08,0.1,5,3.401792852005192,3.3260955389572513,57.6664949450984
0.2,0.2,0.3,0.9,0.0,0.08,0.25,6,3.584126276095101,3.190052145738434,57.655838890542164
0.2,0.2,0.3,0.9,0.0,0.08,0.5,7,3.6996959854405542,3.1011006879092884,57.64909300857018
0.2,0.2,0.3,0.9,0.0,0.04,0.1,6,3.318315420519946,3.540748680376135,57.67137896593029
0.2,0.2,0.3,0.9,0.0,0.04,0.25,7,3.520992358224029,3.401227001017251,57.65952678512083
0.2,0.2,0.3,0.9,0.0,0.04,0.5,8,3.657539140450705,3.3016201871964226,57.65155298514433
0.2,0.2,0.45,0.5,0.5,0.17,0.1,1,1.9703293588687165,2.930649497530811,59.47755071458036
0.2,0.2,0.45,0.5,0.5,0.17,0.25,2,2.026712013991272,2.8900524843229594,59.47435059316106
0.2,0.2,0.45,0.5,0.5,0.17,0.5,3,2.060252816393038,2.8658675114527523,59.47244763026791
0.2,0.2,0.45,0.5,0.5,0.08,0.1,2,1.9201464798940027,3.025054459291799,59.48040023002662
